===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-01-14 18:54:47
count workspace : /Users/fabrizioguespe/Developer/htdocs/fastway/wp-content/themes/fastway
total files : 233
total code lines : 26654
total comment lines : 4548
total blank lines : 4559

404.php, code is 3, comment is 0, blank is 2.
assets/js/fastway.min.js, code is 186, comment is 39, blank is 20.
assets/js/fw-customizer.js, code is 57, comment is 0, blank is 0.
assets/js/jquery.min.js, code is 1, comment is 2, blank is 0.
assets/js/swiper.min.js, code is 1, comment is 12, blank is 0.
author.php, code is 61, comment is 7, blank is 30.
comments.php, code is 70, comment is 24, blank is 29.
demos/cedar/cedar.dat, code is 1, comment is 0, blank is 0.
demos/cedar/cedar.json, code is 1, comment is 0, blank is 0.
demos/cedar/cedar.wie, code is 1, comment is 0, blank is 0.
demos/cedar/cedar.xml, code is 1253, comment is 16, blank is 8.
demos/demo2/customizer.dat, code is 1, comment is 0, blank is 0.
demos/demo2/redux.json, code is 1, comment is 0, blank is 0.
demos/demo2/widgets, code is 1, comment is 0, blank is 0.
demos/demo2/wordpress.xml, code is 3983, comment is 16, blank is 7.
demos/fw-democontent.php, code is 53, comment is 2, blank is 6.
demos/one-click-demo-import/assets/css/main.css, code is 284, comment is 12, blank is 69.
demos/one-click-demo-import/assets/js/main.js, code is 210, comment is 64, blank is 53.
demos/one-click-demo-import/inc/CustomizerImporter.php, code is 136, comment is 69, blank is 36.
demos/one-click-demo-import/inc/CustomizerOption.php, code is 7, comment is 16, blank is 2.
demos/one-click-demo-import/inc/Downloader.php, code is 68, comment is 49, blank is 21.
demos/one-click-demo-import/inc/Helpers.php, code is 367, comment is 177, blank is 106.
demos/one-click-demo-import/inc/ImportActions.php, code is 63, comment is 73, blank is 27.
demos/one-click-demo-import/inc/Importer.php, code is 75, comment is 85, blank is 41.
demos/one-click-demo-import/inc/Logger.php, code is 26, comment is 28, blank is 8.
demos/one-click-demo-import/inc/OneClickDemoImport.php, code is 250, comment is 215, blank is 95.
demos/one-click-demo-import/inc/ReduxImporter.php, code is 40, comment is 18, blank is 13.
